Timestamp;Temperature;Vibration;Pressure;Flow Rate;Efficiency
2024-01-01 20:52:00;7,79422E+15;4,35541E+15;3,28596E+15;3,91774E+15;9,10998E+14
2024-01-04 06:04:00;7,71875E+15;1,46156E+16;2,15291E+16;1,12836E+16;6,7516E+15
2024-01-02 04:51:00;7,21133E+15;3,26787E+16;2,94456E+16;2,52605E+15;9,43901E+15
2024-01-04 07:02:00;6,745E+15;1,5286E+15;1,97476E+16;2,13306E+16;8,20823E+15
2024-01-04 03:21:00;9,14388E+14;1,62312E+15;3,11808E+16;3,18441E+15;8,32274E+15
2024-01-01 22:20:00;7,42943E+15;4,12395E+16;2,85548E+16;4,08388E+16;9,26252E+15
2024-01-01 09:36:00;7,33713E+14;1,44946E+16;3,01241E+15;1,52235E+16;7,22898E+15
2024-01-01 03:22:00;7,55667E+14;1,21382E+16;2,37907E+16;2,90067E+16;7,13618E+15
2024-01-01 22:43:00;7,37864E+15;2,96617E+14;3,25913E+16;1,52131E+16;7,6097E+14
2024-01-01 07:19:00;7,56136E+15;1,48654E+16;2,24802E+15;4,15989E+15;6,17992E+14
2024-01-02 21:50:00;8,14347E+15;2,12976E+15;2,70179E+15;4,14006E+15;7,04762E+15
2024-01-02 17:27:00;7,43773E+15;7,03894E+15;2,78014E+16;2,32286E+16;
2024-01-01 04:32:00;6,91864E+15;2,69812E+15;3,4045E+15;2,3122E+16;6,412E+15
2024-01-01 10:53:00;7,41918E+15;2,16716E+16;1,76905E+15;3,39695E+16;7,61725E+14
2024-01-03 18:39:00;7,2678E+15;4,83796E+15;1,77121E+16;4,98912E+15;8,44102E+15
2024-01-01 17:13:00;8,21195E+15;2,53368E+15;2,4241E+15;4,92208E+15;8,37038E+15
2024-01-01 09:42:00;8,08556E+15;5,25411E+15;3,33575E+15;2,26269E+16;9,27553E+15
2024-01-04 10:10:00;7,55376E+15;2,38911E+16;1,54337E+16;4,31834E+15;7,66749E+15
2024-01-02 10:11:00;6,86063E+15;6,83557E+15;2,05255E+16;2,26193E+16;6,57343E+15
2024-01-03 04:38:00;6,88705E+15;6,44463E+15;2,06717E+15;3,04582E+15;8,10105E+15
2024-01-04 09:36:00;7,50756E+15;2,5575E+16;2,10991E+15;1,12686E+16;7,46983E+15
2024-01-02 13:29:00;7,66816E+15;6,101E+15;1,54941E+16;4,76167E+16;9,03563E+15
2024-01-04 05:20:00;7,31269E+15;4,4725E+15;3,15121E+16;3,93898E+16;6,59767E+15
