timestamp;temperature;vibration;pressure;flow_rate;efficiency;anomaly
2024-01-01 20:52:00;7794220000000000.0;4355410000000000.0;3285960000000000.0;3917740000000000.0;910998000000000.0;1
2024-01-04 06:04:00;7718750000000000.0;1.46156e+16;2.15291e+16;1.12836e+16;6751600000000000.0;1
2024-01-02 04:51:00;7211330000000000.0;3.26787e+16;2.94456e+16;2526050000000000.0;9439010000000000.0;1
2024-01-04 07:02:00;6745000000000000.0;1528600000000000.0;1.97476e+16;2.13306e+16;8208230000000000.0;1
2024-01-04 03:21:00;914388000000000.0;1623120000000000.0;3.11808e+16;3184410000000000.0;8322740000000000.0;1
2024-01-01 22:20:00;7429430000000000.0;4.12395e+16;2.85548e+16;4.08388e+16;9262520000000000.0;1
2024-01-01 09:36:00;733713000000000.0;1.44946e+16;3012410000000000.0;1.52235e+16;7228980000000000.0;1
2024-01-01 03:22:00;755667000000000.0;1.21382e+16;2.37907e+16;2.90067e+16;7136180000000000.0;1
2024-01-01 22:43:00;7378640000000000.0;296617000000000.0;3.25913e+16;1.52131e+16;760970000000000.0;1
2024-01-01 07:19:00;7561360000000000.0;1.48654e+16;2248020000000000.0;4159890000000000.0;617992000000000.0;1
2024-01-02 21:50:00;8143470000000000.0;2129760000000000.0;2701790000000000.0;4140060000000000.0;7047620000000000.0;1
2024-01-02 17:27:00;7437730000000000.0;7038940000000000.0;2.78014e+16;2.32286e+16;7597300000000000.0;1
2024-01-01 04:32:00;6918640000000000.0;2698120000000000.0;3404500000000000.0;2.3122e+16;6412000000000000.0;1
2024-01-01 10:53:00;7419180000000000.0;2.16716e+16;1769050000000000.0;3.39695e+16;761725000000000.0;1
2024-01-03 18:39:00;7267800000000000.0;4837960000000000.0;1.77121e+16;4989120000000000.0;8441020000000000.0;1
2024-01-01 17:13:00;8211950000000000.0;2533680000000000.0;2424100000000000.0;4922080000000000.0;8370380000000000.0;1
2024-01-01 09:42:00;8085560000000000.0;5254110000000000.0;3335750000000000.0;2.26269e+16;9275530000000000.0;1
2024-01-04 10:10:00;7553760000000000.0;2.38911e+16;1.54337e+16;4318340000000000.0;7667490000000000.0;1
2024-01-02 10:11:00;6860630000000000.0;6835570000000000.0;2.05255e+16;2.26193e+16;6573430000000000.0;1
